खनिज मुख्यतः क्या होते हैं ?,मानवीय पदार्थ,कृत्रिम पदार्थ,प्राकृतिक पदार्थ,अंतरिक्ष वस्तु,c
भारत में कितने से अधिक प्रकार के खनिज मिलते हैं?,50,75,100,150,c
अभी तक पहचानी गई 2000 खनिजों में से कितनी आर्थिक दृष्टि से महत्वपूर्ण है ?,10,30,60,170,b
धात्विक खनिज का एक उदाहरण क्या है?,अभ्रक,लौह अयस्क,जिप्सम,डोलोमाइट,b
अधात्विक खनिज का एक उदाहरण क्या है?,सोना,लोहा,अभ्रक,मैंगनीज,c
लोहे का अंश अधिक होने वाले खनिज को क्या कहते हैं?,अलौह खनिज,लौह खनिज,अधात्विक खनिज,कार्बनिक खनिज,b
लोहे का अंश कम या न होने वाले खनिज कौन से होते हैं?,अलौह खनिज,लौह खनिज,अधात्विक खनिज,कार्बनिक खनिज,a
अधात्विक खनिज का उदाहरण कौनसा है?,मैंगनीज,लौह अयस्क,जिप्सम,टंगस्टन,c
भारत की सबसे धनी खनिज पट्टी कौनसी है?,दक्षिण-पश्चिमी पठार,उत्तरी पूर्वी पठार,उत्तर-पश्चिम प्रदेश,हिमालयी क्षेत्र,b
कर्नाटक पठार में कौन सा खनिज मिलता है?,सोना,लौह अयस्क,मैंगनीज,उपरोक्त सभी,d
भारत के उत्तरी मैदान में खनिज क्यों नहीं मिलते?,चट्टानें कमजोर हैं,जलोढ़ की मोटी पर्त है,खनिजों की कमी है,उपजाऊ भूमि है,b
अरावली श्रेणियों में मुख्यतः कौन से खनिज मिलते हैं?,लोहा,मैंगनीज,चाँदी,कोयला,c
धारवाड़ समूह में किस खनिज का भण्डार है?,तांबा,लौह अयस्क,जिप्सम,अभ्रक,b
चूना पत्थर मुख्यतः कहाँ पाया जाता है?,दक्षिण भारत,विन्ध्यन समूह,छोटा नागपुर पठार,अरावली श्रेणी,b
भारत में अधिकांश खनिज किस प्रकार की चट्टानों में पाये जाते हैं?,नवचट्टानी,प्राचीन चट्टानी,आधुनिक चट्टानी,ज्वालामुखीय चट्टानी,b
धात्विक खनिज के गुण क्या हैं?,सख्त और चमकीले,नरम और चमक रहित,परतदार और मुलायम,रंगीन और कठोर,a
अधात्विक खनिज की विशेषता क्या है?,लोहे का अंश होता है,बहुत चमकीले होते है,इनसे तार बनाया जा सकता है,ये सभी प्रकार के चट्टानों में मिलते सकते है,d
देश की सभी तीनों सोने की खानें किस खनिज पेटी में हैं?,दक्षिण-पश्चिमी पठार,उत्तरी पूर्वी पठार,उत्तर-पश्चिम प्रदेश,हिमालयी क्षेत्र,a
सबसे उत्तम लौह अयस्क हैं?,हेमाटाइट,मैग्नेटाइट,लिमोनाइट,सभी,a
लौह अयस्क का सबसे बड़ा उत्पादक राज्य कौन सा है?,छत्तीसगढ़,कर्नाटक,उड़ीसा,गोवा,b
भारत में लौह अयस्क का कुल भंडार किस राज्य में 96% सीमित है?,"कर्नाटक, गोवा और झारखंड",छत्तीसगढ़ और उड़ीसा,उपरोक्त दोनों सही,कर्नाटक,c
भारत में मैंगनीज के उत्पादन में सबसे अग्रणी राज्य कौन है?,महाराष्ट्र,मध्य प्रदेश,उड़ीसा,कर्नाटक,c
"भारत में बॉक्साइट का सबसे बड़ा उत्पादक राज्य कौन सा है, जो कि कुल उत्पादन का 42% अकेला उत्पादित करता है ?",झारखंड,गुजरात,उड़ीसा,महाराष्ट्र,c
मैंगनीज का सबसे अधिक उपयोग किसमें किया जाता है?,इस्पात निर्माण,माचिस निर्माण,चमड़ा उद्योग,पेंट उद्योग,a
भारत में 2005-06 में बॉक्साइट का उत्पादन कितना था?,15661 हजार टन,12596 हजार टन,24678 हजार टन,4977 हजार टन,b 
भारत में मैंगनीज का उत्पादन किस राज्य में घट रहा है?,महाराष्ट्र,उड़ीसा,कर्नाटक,झारखंड,c
मैंगनीज के उत्पादन में भारत का विश्व में स्थान क्या है?,पहला,दूसरा,तीसरा,चौथा,c
"भारत में किसका 78% से अधिक अयस्क नागपुर, बालाघाट, भण्डारा तथा छिंदवाड़ा जिलों की पेटी में है ?",मैंगनीज,लोहा,तांबा,बॉक्साइट,a
