खनिज सम्पदा की उपलब्धता प्रमुखतः किसका सूचक होती है ?,नैतिक विकास,आर्थिक विकास,पर्यावरणीय विकास,संस्कृति का विकास,b
बिहार राज्य में विभाजन के बाद खनिज सम्पदा का कितना प्रतिशत भंडार रह गया ?,1%,5%,10%,15%,a
बिहार में मुख्यतः कौन से दो खनिज पर्याप्त मात्रा में उपलब्ध हैं ?,चूना पत्थर और पाइराइट,मैग्नेटाइट और सोना,बॉक्साइट और क्वाटर्ज,डोलोमाइट और सिलिका सैंड,a
बंगाल रूबी के नाम से कौन जाना जाता है ?,ग्रेफाइट,बायोटाइट,पाईराईट,मस्कोव्हाइट,d
बिहार में चूना पत्थर का कुल भंडार कितना है ?,100.21 हजार मीट्रिक टन,130.47  हजार मीट्रिक टन,190.74  हजार मीट्रिक टन,210.85  हजार मीट्रिक टन,d
बॉक्साइट का मुख्य भंडार बिहार के किन जिलों में पाया जाता है ?,"मुंगेर, भागलपुर, बांका","कैमूर, रोहतास, औरंगाबाद","गया, जमुई, बाँका","पश्चिम चम्पारण, पूर्वी चम्पारण, सीवान",c
दक्षिणी बिहार की नदियों के बालू के रेत में सोना धातु की मात्रा कितनी होती है ?,0.1 से 0.6 ग्राम प्रति टन,0.5 से 1.0 ग्राम प्रति टन,0.6 से 1.2 ग्राम प्रति टन,1.0 से 1.5 ग्राम प्रति टन,a
अभ्रक का उच्च कोटि का प्रकार कौन सा है ?,फ्लोगोफाइट,बायोटाइट,मस्कोव्हाइट,क्वाटर्ज,c
बिहार में चूना पत्थर का वार्षिक उत्पादन कितना है ?,210 लाख टन,260 लाख टन,180 लाख टन,300 लाख टन,b
पाईराइट का मुख्य भंडार बिहार के किन जिलों में है ?,गया और मुंगेर,नवादा और जमुई,भागलपुर और बांका,कैमूर और रोहतास,d 
अमझोर पहाड़ी (रोहतास) के पाईराइट से गंधक की मात्रा कितनी प्राप्त होती है ?,20%,30%,40%,50%,c
बिहार में क्वाटर्ज का कुल भंडार कितना है ?,5.25 हजार मीट्रिक टन,10.83 हजार मीट्रिक टन,15.27 हजार मीट्रिक टन,20.45 हजार मीट्रिक टन,b
अमझोर पहाड़ी कहाँ है ?,कैमूर,बांका,रोहतास,राजगीर,c 
ब्लैक लीड (Black Lead) किसे कहते है ?,कोयला,ग्रेफाइट,पेट्रोलियम,पाईराईट,b
फेल्सपार मुख्य रूप से बिहार के किस भाग से प्राप्त होता है ?,उत्तर जिलों से,पश्चिम जिलों से,दक्षिण जिलों से,पूर्व जिलों से,c
बिहार के कौन से जिलों में स्लेट का भंडार है ?,कैमूर और रोहतास,मुंगेर और सहरसा,"लक्खीसराय, मुंगेर और भागलपुर","कैमूर, गया और नवादा",c
बिहार में ग्रेफाइट का मुख्य उपयोग किस उद्योग में होता है ?,सीमेंट उद्योग,रसायन उद्योग,रिफ्रैक्टरी उद्योग,खनन उद्योग,c
नबीनगर तापीय विद्युत परियोजना किसके सहयोग से बनाई जा रही है ?,एनटीपीसी और रेलवे,ओएनजीसी और रेलवे,बिहार सरकार और एनटीपीसी,झारखंड सरकार और रेलवे,a
कहलगांव सुपर थर्मल पावर की उत्पादन क्षमता क्या है ?,670 मेगावाट,840 मेगावाट,1200 मेगावाट,2140 मेगावाट,b
बरौनी तापीय विद्युत परियोजना की स्थापना किस वर्ष हुई थी ?,1965,1970,1975,1980,b
बिहार में जल विद्युत के विकास के लिए किस संस्था का गठन किया गया ?,NTPC,BHPC,ONGC,BEEDA,b
डेहरी जल विद्युत परियोजना किस जिले में स्थित है ?,रोहतास,कैमूर,मुंगेर,भागलपुर,a
बिहार में गैर-परंपरागत ऊर्जा स्रोतों की नोडल एजेंसी कौन है ?,BHPC,BREDA,NTPC,ONGC,b
बिहार में अब तक कितने बायोगैस संयंत्र स्थापित किए गए हैं ?,4.40 लाख,1.25 लाख,1.52 लाख,2.70 लाख,b
बिहार में लघु जल विद्युत परियोजनाओं के कितने संभावित स्थल हैं ?,72,85,92,100,c
कहलगांव तापीय विद्युत परियोजना के लिए कोयला कहाँ से प्राप्त होता है ?,बिहार के खानों से,झारखंड के खानों से,पश्चिम बंगाल के खानों से,ओडिशा के खानों से,b
कलेर जल विद्युत परियोजना किस जिले में निर्माणाधीन है ?,अरवल,कैमूर,रोहतास,औरंगाबाद,a
बिहार में बायोमास आधारित विद्युत परियोजनाओं की क्षमता कितनी है ?,100 मेगावाट,200 मेगावाट,300 मेगावाट,400 मेगावाट,b
बाल्मिकी नगर जल विद्युत परियोजना किस जिले में है ?,मुजफ्फरपुर,पश्चिम चम्पारण,पूर्वी चम्पारण,रोहतास,b
कहलगाँव सुपर थर्मल पावर की स्थापना कब हुई थी ?,1874,1920,1964,1979,d
