नेपोलियन के पतन के बाद यूरोप की विजय शक्तियाँ ऑस्ट्रिया की राजधानी में कब सम्मिलित हुईं ?,1812,1816,1815,1820,c
ऑस्ट्रिया की राजधानी क्या थी ?,वियना,बुडापेस्ट,बर्लिन,प्राग,a
1815 ई. के वियाना सम्मेलन की मेजबानी किसने की ?,नेपोलियन बोनापार्ट,मेटरनिख,काउंट कावूर,मेजिनी,b
निम्लिखित में ऑस्ट्रिया का चांसलर कौन था ?,मेटरनिख,नेपोलियन,मजिनी,चार्ल्स X,a
वियना सम्मेलन के माध्यम से किस युग की शुरुआत हुई ?,मेटरनिख युग,पुनर्जागरण युग,राष्ट्रवाद युग,नेपोलियन युग,a
लोम्बार्डी एवं वेनेशिया पर किसकी प्रभुता कायम हुआ ?,फ्रांस,इंग्लैंड,प्रशा,ऑस्ट्रिया,d
जर्मनी में कितने रियासतों का संघ था ?,300,290,39,32,c
फ्रांस में वियना व्यवस्था के तहत क्रांति के पूर्व की व्यवस्था स्थापित करने पर वहाँ का राजा कौन बना है ?,चार्ल्स X,लुई 18,नेपोलियन बोनापार्ट,लुई 16,b
लुई 18 ने प्रतिक्रियावादी और सुधारवादी शक्तियों के मध्य सामंजस्य स्थापित करने के लिए संवैधानिक घोषणा पत्र कब जारी किया ?,14 अप्रैल 1814, 2 जून 1814, 17 मार्च 1820, 1 जुलाई 1824,b
चार्ल्स-X ने किस प्रतिक्रियावादी को प्रधानमंत्री बनाया ?,पोलिग्नेक,चेमिन, लुई 18,गीजो,a
फ्रांस में गृह युद्ध कब आरंभ हुआ ?,28 जून 1830, 26 फरवरी 1848, 5 अक्टूबर 1846, 1 मई 1852,a
फ्रांस के गृह युद्ध को और क्या कहते हैं ?,जुलाई 1830 क्रांति, फ़्रांसीसी क्रांति, कोम्यून क्रांति,जुलाई 1848 क्रांति,a
फ्रांस में जुलाई 1830 की क्रांति के परिणामस्वरुप बूर्वो वंश के स्थान पर किस वंश की स्थापना हुई ?,बोरबॉन वंश, आर्लेयेंस  वंश, होहेनज़ोलर्न वंश, नेपोलियन वंश,b
लुई फिलिप किस वंश का शासक था ?,बूर्वो,नेपोलियन,आर्लेयेंस,होहेनज़ोलर्न,c
लुई फिलिप ने अपने विरोधियों को खुश करने के लिए किसका अवलंबन किया ?,सामंती नीति, सामाजिक नीति,कार्ल्सवाद के आदेश,स्वर्णिम मध्यमवर्गीय नीति,d
सुधारवादियों ने 22 फरवरी 1848 ई. को पेरिस में किसके नेतृत्व में एक विशाल भोज का आयोजन किया ?,गैरीबाल्डी,थियर्स,मजिनी,मुसोलिनी,b
गीजो कैसा प्रधानमंत्री था ?,उदारवादी,सुधारवादी,कट्टर प्रतिक्रियावादी,इनमें से कोई नहीं,c
लुई फिलिप ने कब फ्रांस की गद्दी छोड़ी ?,22 मार्च 1848, 15 अप्रैल 1848, 2 जून 1848,24 फरवरी 1848,d
गणतंत्र वादियों का नेता कौन था ?,गीजो,थियर्स,लामार्टिन,लुई ब्लॉ,c
सुधारवादियों का नेता कौन था ?,थियर्स,लुई ब्लॉ,मेजिनी,लामार्टिन,b
लुई नेपोलियन कहाँ का सम्राट बना ?,फ्रांस, इटली, जर्मनी, स्पेन,a
इटली विजय के पश्चात नेपोलियन ने इसे कितने गणराज्यों में गठित किया ?,एक,दो,तीन,चार,c
किसने पिडमाउंट और सार्डिनिया का एकीकरण किया ?,वियना कांग्रेस,डायट,काउंट कावूर,मेजिनी,a
कार्बोनारी क्या था ?,राजनीतिक संगठन,सामाजिक आंदोलन,सांस्कृतिक समूह,गुप्त दल,d
मेजिनी का पूरा नाम क्या था ?,जोसेफ मेजिनी, जॉर्ज मेजिनी, जेम्स मेजिनी, जोहान मेजिनी,a
सन् 1831 ई. में 'यंग इटली' की स्थापना किसने की थी ?,गारीबाल्डी, काउंट कावूर,मेजिनी,गीजो,c
मेजिनी ने 'यंग यूरोप' नामक संस्था की स्थापना कब की ?,1830, 1832, 1834, 1836,c
चार्ल्स एल्बर्ट किसका शासक था ?,सेडोवा,सार्डिनिया-पिडमाउंट,नेपल्स,लुंबार्डी,b
