शक्ति संसाधन का वास्तविक विकास कब शुरू हुआ?,16वीं शताब्दी,18वीं शताब्दी,19वीं शताब्दी,20वीं शताब्दी,b
समापनीय शक्ति स्रोत का उदाहरण कौन सा है?,सौर ऊर्जा,पवन ऊर्जा,प्राकृतिक गैस,जल शक्ति,c
ऊर्जा के दो प्रकार उपयोग स्तर के आधार पर कौन से हैं?,क्षयशील और अक्षयशील,सतत् और समापनीय,जैविक और अजैविक,पारम्परिक और गैर पारम्परिक,b
गौण ऊर्जा का सबसे अच्छा उदाहरण क्या है?,कोयला,विद्युत,प्राकृतिक गैस,पवन शक्ति,b
अक्षय शक्ति संसाधन का उदाहरण कौन सा है?,कोयला,पेट्रोलियम,प्राकृतिक गैस,प्रवाही जल,d
जैविक शक्ति स्रोत का उदाहरण कौन सा है?,पवन ऊर्जा,सौर ऊर्जा,प्राणी शक्ति,कोयला,c
गैर पारम्परिक शक्ति संसाधन का उदाहरण कौन सा है?,कोयला,पेट्रोलियम,सौर ऊर्जा,प्राकृतिक गैस,c
ऊर्जा को संरचनात्मक गुणों के आधार पर कितने भागों में वर्गीकृत किया गया है?,दो,तीन,चार,पांच,a
भारत में कोयले का कुल अनुमानित भंडार 1 जनवरी 2008 तक कितना था?,20796 करोड़ टन,26454 करोड़ टन,15143 करोड़ टन,32746 करोड़ टन,b
गोंडवाना समूह के कोयले का निर्माण कब हुआ?,10 करोड़ वर्ष पूर्व,15 करोड़ वर्ष पूर्व,20 करोड़ वर्ष पूर्व,25 करोड़ वर्ष पूर्व,c
भारत में कोयले का उत्पादन 2007-08 में कितना था?,456.373 मिलियन टन,579.489 मिलियन टन,700.426 मिलियन टन,157.478 मिलियन टन,a
भारत में कोयले का सबसे अधिक भंडार किस राज्य में है?,छत्तीसगढ़,झारखंड,ओडिशा,मध्य प्रदेश,b
टर्शियरी कोयला मुख्यतः किस क्षेत्र में पाया जाता है?,झारखंड,तमिलनाडु,असम,पश्चिम बंगाल,c
कोयले का सर्वोच्च कोटि का प्रकार कौन सा है?,बिटुमिनस,लिग्नाइट,एंथ्रासाइट,पीट,c
तमिलनाडु में लिग्नाइट कोयले का खनन कौन करता है?,नेवेली लिग्नाइट कारपोरेशन,कोल इंडिया,स्टील अथॉरिटी ऑफ इंडिया,एनटीपीसी,a
भारत में पेट्रोलियम के कुल भंडार का अनुमान कितना है?,20 अरब टन,15 अरब टन,17 अरब टन,18 अरब टन,c
भारत में प्रथम बार तेल का कुआं किस क्षेत्र में खोदा गया?,गुजरात,असम,महाराष्ट्र,पश्चिम बंगाल,b
मुम्बई हाई क्षेत्र में तेल खोजने का कार्य किस वर्ष शुरू हुआ?,1970,1975,1980,1985,b
कावेरी नदी बेसिन का प्रमुख तेल उत्पादक क्षेत्र कौन सा है?,डिगबोई,कलोल,मोरान,नारीमनम,d 
पेट्रोलियम से कौन सा उत्पाद प्राप्त नहीं होता है?,गैसोलीन,कीटनाशक,कोयला,प्लास्टिक,c
भारत का प्रथम तेल शोधक कारखाना कहाँ स्थापित हुआ?,मुम्बई,कोच्चि,विशाखापत्तनम,डिगबोई,d 
पेट्रोलियम उत्पादन में भारत का सबसे बड़ा क्षेत्र कौन सा है?,असम,गुजरात,मुम्बई हाई,राजस्थान,c
पेट्रोलियम के अलावा भारत में कौन सा ऊर्जा स्रोत तेजी से उपयोग में आ रहा है?,कोयला,प्राकृतिक गैस,बायो गैस,भू-तापीय ऊर्जा,b
भारत में प्राकृतिक गैस प्राधिकरण की स्थापना किस वर्ष हुई?,1984,1980,1990,1985,a
गोंडवाना समूह का कोयला मुख्यतः किस नदी घाटी में पाया जाता है?,गंगा,यमुना,दामोदर,नर्मदा,c
किस राज्य में भारत का सबसे अधिक लिग्नाइट भंडार पाया जाता है?,गुजरात,तमिलनाडु,राजस्थान,झारखंड,b
निम्नलिखित में से भारत के किस क्षेत्र में टर्शियरी कोयले का उत्पादन होता है?,दामोदर घाटी,माकुम क्षेत्र,कोरबा क्षेत्र,सिंगरौली,b
पेट्रोलियम परिष्करण केंद्र का कार्य क्या है?,खनन,शोधन,आयात,विपणन,b
असम के किस क्षेत्र को 'भारत का तेल नगर' कहा जाता है?,डिगबोई,गुवाहाटी,नाहरकटिया,तिनसुकिया,a
राजस्थान का प्रमुख तेल उत्पादक क्षेत्र कौन सा है?,कोटा,बाड़मेर,जयपुर,अलवर,b
भारत में प्राकृतिक गैस का उत्पादन 2004-05 में कितना था?,723 करोड़ घन मीटर,1500 करोड़ घन मीटर,3082 करोड़ घन मीटर,2500 करोड़ घन मीटर,c
विद्युत शक्ति का एक प्रमुख स्रोत क्या है ?,जल विद्युत,ताप विद्युत,परमाणु विद्युत,उपरोक्त सभी,d
भारत में जल विद्युत संयंत्र की पहली स्थापना कहां हुई थी ?,कर्नाटका,दार्जिलिंग,उत्तर प्रदेश,हिमाचल प्रदेश,b
भाखड़ा नंगल परियोजना किस नदी पर स्थित है ?,सतलज,गंगा,यमुना,नर्मदा,a
दामोदरघाटी परियोजना किस राज्य में स्थित है ?,बिहार,पश्चिम बंगाल,उत्तर प्रदेश,ओडिशा,b
कोशी परियोजना किस नदी पर आधारित है ?,गंगा,कोशी,यमुना,ब्रह्मपुत्र,b
रिहन्द परियोजना कहां स्थित है ?,बिहार,कर्नाटका,मध्य प्रदेश,उत्तर प्रदेश,d
हीराकुड परियोजना किस नदी पर स्थित है ?,महानदी,गंगा,यमुना,नर्मदा,a
चंबल घाटी परियोजना कहां स्थित है ?,राजस्थान,मध्य प्रदेश,उत्तर प्रदेश,ओडिशा,a
तुंगभद्रा परियोजना किस राज्य में स्थित है ?,कर्नाटका,आंध्र प्रदेश,उत्तर प्रदेश,मध्य प्रदेश,a
शारवती नदी परियोजना कहां स्थित है ?,कर्नाटका,उत्तर प्रदेश,तमिलनाडु,महाराष्ट्र,a
ताप विद्युत संयंत्र में प्रमुखतः किस का उपयोग किया जाता है ?,जल,कोयला,पेट्रोलियम,प्राकृतिक गैस,b
राष्ट्रीय ताप विद्युत निगम (NTPC) का प्रमुख कार्य क्या है ?,जल विद्युत उत्पादन,ताप विद्युत उत्पादन,परमाणु विद्युत उत्पादन,नवीकरणीय ऊर्जा उत्पादन,b
परमाणु शक्ति के उत्पादन में किस पदार्थ का उपयोग होता है ?,कोयला,पेट्रोलियम,यूरेनियम,लोहा,c
भारत में पहला परमाणु रियेक्टर कहां स्थापित हुआ था ?,दिल्ली,तारापुर,राणाप्रताप,कलपक्कम,b
