इस धरती पर होने वाली मुख्य प्राकृतिक आपदाएँ कौन-कौन सी हैं?,भूकंप और चक्रवात,सुनामी और बाढ़,भूस्खलन और हिमस्खलन,उपरोक्त सभी,d
निम्नलिखित में भारत में चक्रवात प्रभावित क्षेत्र कौन सा है?,गंगा का मैदान,पूर्वी तटीय भाग,राजस्थान का रेगिस्तान,विंध्याचल पर्वत,b
भारत में कितने प्रतिशत भू-क्षेत्र भूकंप प्रभावित है?,46%,36%,56%,66%,c
आपदा के समय सामान्य संचार माध्यम क्यों बाधित हो जाते हैं?,केबुल टूट जाने से,बिजली बाधित होने से,टावर क्षतिग्रस्त होने से,उपरोक्त सभी,d
2008 में कुसाहा के पास कौन सा बांध टूटा था?,सरयू बांध,कोसी बांध,गंगा बांध,महानदी बांध,b
कुसाहा बांध टूटने से लगभग कितने लोग बेघर हो गए?,15 लाख,20 लाख,27 लाख,34 लाख,c
कुसाहा आपदा में कितने गाँव प्रभावित हुए थे?,2746,1598,1278,147,b
PSTN प्रणाली में कितने प्रतिशत फोन एक समय में बात कर सकते हैं?,10%,5%,15%,20%,b
रेडियो तरंगें किस प्रकार की होती हैं?,इलेक्ट्रोमैग्नेटिक,मेकैनिकल,ऑप्टिकल,थर्मल,a
लंबी दूरी के संचार के लिए किस प्रकार की तरंगों का उपयोग होता है?,निम्न फ्रीक्वेंसी,उच्च फ्रीक्वेंसी,अत्यधिक उच्च फ्रीक्वेंसी,कोई नहीं,b
वॉकी-टॉकी किस प्रकार की संचार प्रणाली है?,तार आधारित,सैटेलाइट आधारित,नेटवर्क आधारित,बिना तार की,d
हेम रेडियो के लिए किसकी आवश्यकता नहीं होती है?,बैटरी,जेनरेटर,एंटीना,बुनियादी इन्फ्रास्ट्रक्चर,d
भारत में लाइसेन्स होल्डर एमेच्योर रेडियो ऑपरेटर्स की संख्या लगभग कितनी है?,10000,15000,20000,5000,b
हेम रेडियो का उपयोग निम्नलिखित में से किसके लिए होता है?,व्यावसायिक कार्य,केवल सरकारी काम,शिक्षा और अनुसंधान,इनमें से कोई नहीं,c
भारत में हेम रेडियो के लिए किस संस्था ने सूक्ष्म तरंग वाला सेटेलाइट बनाया है?,ISRO,DRDO,NASA,UNESCO,a
संचार उपग्रह का मुख्य कार्य क्या है?,डेटा स्टोरेज,डेटा संचार और मोबाइल सेवाएँ,केवल टेलीविजन सेवाएँ,फ्रीक्वेंसी नियंत्रण,b
निम्नलिखित में INSAT उपग्रह का उपयोग किसके लिए किया जाता है?,सूदूर संवेदी,डाटा संग्रह और नियंत्रण,दूरदर्शन और आपदा चेतावनी,इनमें से कोई नहीं,c
आपदा प्रबंधन में कौन सा फोन सर्वाधिक उपयोग में लाया जानेवाला संचार साधन है?,स्मार्टफोन,लैंडलाइन,उपग्रह फोन,वॉकी-टॉकी,c
आपदा के समय सैटेलाइट फोन का क्या महत्व है?,सस्ता विकल्प है,बहुत विश्वसनीय है,केवल स्थानीय संपर्क के लिए,डाटा स्टोरेज के लिए,b
कोसी आपदा में कितने जिलों पर प्रभाव पड़ा था?,10,12,16,20,c
उपग्रह के ट्रांसपोंडर का कार्य क्या है?,फ्रीक्वेंसी बढ़ाना,डेटा स्टोरेज तथा उसका प्रसंस्करण,बिजली उत्पादन,संदेश प्राप्त और प्रसारित करना,d
भूस्खलन किन क्षेत्रों में अधिक होता है?,हिमालय और पश्चिमी घाट,पूर्वी तटीय क्षेत्र,गंगा के मैदान,राजस्थान के मरुस्थल,a
प्रमुख रूप से संचार उपग्रह अंतरिक्ष में स्थित क्या है ?,रेडियो रिले स्टेशन,फाइबर ऑप्टिक केबल,डेटा सेंटर,माइक्रोचिप्स,a
PSTN के फेल होने का मुख्य कारण क्या है?,माइक्रोचिप्स की कमी,मौसम,सिस्टम की ओवरलोडिंग,डेटा की कमी,c
निम्नलिखित में से किस संचार साधन पर पृथ्वी पर घटित हुई किसी आपदा का प्रभाव नहीं पड़ता है ?,इंटरनेट,टेलीफोन,PSTN,उपग्रह संचार,d
संदीप बरुआ द्वारा किस संचार माध्यम का उपयोग कर अंडमान व निकोबार द्वीपसमूह में फंसे लोगों की मदद की गई थी ?,PSTN,सेटफोन,हैम रेडियो,स्मार्टफोन,c 
भारत के 16 प्रतिशत राज्यों का कितना प्रतिक्षत्र भाग सूखा के चपेट में रहता है ?,10,16,21,28,b
कब कुसाहा के पास कोसी बांध टूट जाने के कारण उत्तरी बिहार के कोसी क्षेत्र में भयंकर बाढ़ आई थी ?,7 फरवरी 2008,2 मई 2008,2 अगस्त 2008,9 दिसम्बर 2008,c
हैम ऑपरेटर संदीप बरूआ कहाँ के थे ?,मुंबई,नई दिल्ली,बंगलुरु,कोलकाता,b
IRS का पूर्ण रूप होता है -,Invisible Radio Station,Intergalactic Rainbow Satellite,Incredible Rocket Super Science,Indian Remote Sensing Satellite,d
