यस्य कृत्यं न विघ्नन्ति शीतमुष्णं भयं रतिः। यहाँ किसे पण्डित कहा गया है ?,जो केवल सुख में स्थिर हो,जो किसी भी परिस्थिति में विचलित न हो,जो क्रोध को नियंत्रित करता है,जो सत्य बोलता है,b  
मूर्ख व्यक्ति के लक्षण क्या हैं ?,बिना बुलाए अंदर आने वाले को,बिना पूछे बहूत बोलने वाले को,अविश्वासनीय पर विश्वास करने वाले को,उपरोक्त सभी,d  
परम संतोष किसे कहा गया है ?,अहिंसा,काम,विद्या,तप,c
नरक के तीन द्वार कौन-कौन से हैं ?,"लोभ, मोह, अहंकार","काम, क्रोध, लोभ","क्रोध, आलस्य, निद्रा","मोह, निद्रा, लोभ",b
धर्म किससे रक्षित होता है ?,योग,सत्य,अहिंसा,ज्ञान,b  
कुल की रक्षा कैसे होती है ?,ज्ञान से,धर्म से,सदाचरण से,सत्य से,c  
दुनिया में किस प्रकार के व्यक्ति दुर्लभ हैं ?,प्रिय बोलने वाले,अप्रिय सत्य बोलने वाले,मधुर भाषी,अहंकारी व्यक्ति,b    
किससे क्रोध समाप्त होता है ?,क्षमा,विनय,पराक्रम,आलस्य,a  
विद्या की रक्षा कैसे होती है ?,मन से,योग से,दान से,ज्ञान से,b  
नरक में जाने का मुख्य कारण क्या है ?,लोभ,काम,क्रोध,उपरोक्त सभी,d  
अपृष्टो बहुभाषते का अर्थ क्या है ?,बुलाए जाने पर चुप रहना,बिना पूछे बोलना,कम बोलना,उपरोक्त सभी,b
विनम्रता किसे समाप्त करती है ?,ज्ञान,पराक्रम,अकीर्ति,क्रोध,c
क्षमा का सबसे बड़ा लाभ क्या है ?,मोह समाप्त होता है,आलस्य समाप्त होता है,क्रोध समाप्त होता है,धर्म की प्राप्ति होती है,c  
क्या परम कल्याण कारक है ?,ज्ञान,अहिंसा,निद्रा,धर्म,d 
क्या परम सुख देने वाली है ?,ज्ञान,काम,अहिंसा,यश,c
सुंदरता की रक्षा किससे होती है ?,ज्ञान,दान देकर,प्रेम,सफाई,d
रातिः का अर्थ क्या होता है ?,आनंद,कठिनाई,शोक,क्रोध,a
अकीर्तिम् का अर्थ क्या होता है ?,यश,अपयश,शांति,ऐश्वर्य,b  
मृजया का अर्थ क्या होता है ?,हिरण,मूर्ख हृदय वाला,स्वच्छता,आनंद,c
नरकस्येदं का संधि विच्छेद क्या होगा ?,नरकस्य + एदम्,नरकस्य + इदम्,नरकस्य + उदम्,नरकस्य + अदम्,b
साध् + ण्यत् = ?,साध्यः,साधन्यत्,साधण्यत्,साधायत्,a  
भू + क्तिन् = ?,भक्तिः,भूकतिन्,भूतिः,भूकना,c
"कर्तृवाच्य - विनयः अकीर्तिम् हन्ति।, कर्मवाच्य - ?",विनयः अकीर्तिम् हन्यते,विनयेन अकीर्तिं हन्ति,विनयः अकीर्तिः हन्ति,विनयेन अकीर्तिः हन्यते,d
आङ् + चर् + घञ् = ?,आचरण,आचारः,आचार्यः,आचरणीयः,b
विद्यैका का संधि विच्छेद क्या होगा ?,विद्याम् + एका,विद्या + इका,विद्यान् + एका,विद्या + एका,d
