भारत में कुल भौगोलिक क्षेत्र का कितना प्रतिशत वन क्षेत्र है?,9.27%,30.55%,20.60%,22.00%,c
विश्व में सबसे अधिक वन क्षेत्र वाला देश कौन सा है?,ब्राजील,रूस,कनाडा,अमेरिका,b
2005 में विश्व का कुल वन क्षेत्र कितना था?,6.467 अरब हेक्टेयर,2.887 अरब हेक्टेयर,3.952 अरब हेक्टेयर,4.477 अरब हेक्टेयर,c
भारत का सबसे बड़ा वनाच्छादित राज्य कौन सा है?,मध्य प्रदेश,अरुणाचल प्रदेश,छत्तीसगढ़,महाराष्ट्र,a
पूर्वोत्तर के सात राज्यों में कुल वन क्षेत्र का कितना प्रतिशत है?,25.11%,30.55%,20.60%,11.22%,a
अत्यंत सघन वनों का भारत के कुल भौगोलिक क्षेत्र में कितना प्रतिशत है?,1.66%,3%,7.12%,8.68%,a
कौन सा राज्य तटीय वनों (मैंग्रोव) का सबसे बड़ा क्षेत्र रखता है?,गुजरात,अंडमान-निकोबार,पश्चिम बंगाल,तमिलनाडु,c
भारत में मैंग्रोव का कुल क्षेत्र कितना है?,4.4 लाख हेक्टेयर,5.6 लाख हेक्टेयर,6.4 लाख हेक्टेयर,7.9 लाख हेक्टेयर,a
असम के आदिवासी जिलों में वृक्षों का घनत्व कितना है?,62.99%,23.89%,75.97%,40.46%,b
भारत में आरक्षित वनों का कुल वन क्षेत्र में प्रतिशत कितना है?,17%,29%,54%,75%,c
रक्षित वनों का कुल वन क्षेत्र में प्रतिशत कितना है?,29%,17%,54%,25%,a
भारत में झाड़ियाँ एवं अन्य वन का कुल भौगोलिक क्षेत्र में कितना प्रतिशत है?,14.12%,8.68%,1.66%,3%,b
कौन सा राज्य मैंग्रोव वनों के मामले में दूसरे स्थान पर है?,पश्चिम बंगाल,अंडमान-निकोबार,महाराष्ट्र,गुजरात,d
बिहार के कितने जिलों में वन क्षेत्र समाप्त हो गया है?,11,17,28,20,b
भारत में खुले वनों का कुल क्षेत्रफल कितना है?,2.59 करोड़ हेक्टेयर,3.5 करोड़ हेक्टेयर,2.459 करोड़ हेक्टेयर,2 करोड़ हेक्टेयर,a
झाड़ियाँ एवं अन्य वन मुख्यतः किस राज्य में मिलते हैं?,असम,मध्य प्रदेश,पश्चिम बंगाल,राजस्थान,d
पूर्वोत्तर राज्यों में वनों का प्रकार अधिकतर कौन सा है?,आरक्षित वन,रक्षित वन,अवर्गीकृत वन,मैंग्रोव वन,c
आरक्षित वनों का सबसे बड़ा अनुपात किस राज्य में है?,मध्य प्रदेश,बिहार,पंजाब,उत्तराखंड,a
कौन सा उपग्रह भारतीय वनों की जानकारी देता है?,IRSP 6,IRS 4,GAGAN,GSAT,a
भारत में कौन सा प्रदेश तटीय वनों में तीसरे स्थान पर है?,महाराष्ट्र,अंडमान-निकोबार,तमिलनाडु,गुजरात,b
अत्यंत सघन वनों में वृक्ष घनत्व कितना होता है?,40-70%,70% से अधिक,10-40%,10% से कम,b
मैंग्रोव वनों का भारत में कितना प्रतिशत क्षेत्र है?,0.14%,5%,20%,7%,a
वनों के मामले में भारत विश्व में किस स्थान पर है?,पहला,तीसरा,पाँचवाँ,दसवाँ,d
भारत में वन सम्पदाओं के ह्रास की शुरुआत कब हुई?,आजादी के बाद,उपनिवेश काल से,बीसवीं सदी से,इकीसवीं सदी से,b  
वनों का विस्तार बीसवीं सदी के मध्य में कितना था?,19%,21%,24%,30%,c  
1951 से 1980 के बीच कितने वर्ग किमी वन क्षेत्र कृषि क्षेत्र में परिवर्तित हुआ?,26200,30000,25000,20000,a  
झूम खेती का प्रभाव कहाँ सबसे अधिक पड़ा?,दक्षिण भारत,पश्चिम भारत,उत्तरी भारत,पूर्वोत्तर भारत,d 
1952 से नदी घाटी परियोजनाओं के कारण कितना वन क्षेत्र नष्ट हुआ?,4000 वर्ग किमी,5000 वर्ग किमी,3000 वर्ग किमी,6000 वर्ग किमी,b  
पश्चिम बंगाल में टाईगर रिजर्व डोलोमाई को किससे खतरा है?,झूम खेती,शिकार,शहरीकरण,खनन,d
हिमालय यव का औषधीय उपयोग किस रोग के उपचार में होता है?,मलेरिया,कैंसर,डायबिटीज,टाइफाइड,b  
हिमालय यव संकट का मुख्य कारण क्या है?,जलवायु परिवर्तन,अत्यधिक निष्कासन,खनन,वन कटाई,b  
भारत में कितनी वन्य प्राणी उपजातियाँ पाई जाती हैं?,75000,47000,50000,81000,d
भारत में विलुप्त हो चुके प्राणियों की संख्या कितनी है?,500,650,744,800,c
कृष्णा सार किस प्रकार का प्राणी है?,पक्षी,स्तनधारी,सरीसृप,मछली,b  
वेट लैंड को स्थानीय तौर पर क्या कहा जाता है?,चौर,टाल,भागर मॉन,उपरोक्त सभी,d  
पर्यावरण संरक्षण में सम्राट अशोक का योगदान क्या था?,शिकार पर रोक,वन संरक्षण,शिलालेख में नियम,उपरोक्त सभी,d  
विश्नोई गाँव के अमृता देवी का योगदान किस क्षेत्र में था?,कृषि,वन संरक्षण,शहरीकरण,सामाजिक सुधार,b  
1952 से अब तक वनों का कितना प्रतिशत क्षेत्र सिकुड़ चुका है?,8%,10%,5%,1%,c  
भारत में वनों की उत्पादकता कितनी है?,0.5 घन मीटर,1 घन मीटर,2.1 घन मीटर,1.5 घन मीटर,a  
सागवान के एकल वृक्षारोपण से किस क्षेत्र के वन प्रभावित हुए?,दक्षिण भारत,पूर्वोत्तर भारत,पश्चिम भारत,उत्तर भारत,a  
भारत में विलुप्त होने के कगार पर कितनी प्रजातियाँ हैं?,15864,24077,25472,22531,d
"चीतल, नील गाय और चीता किस श्रेणी में आते हैं?",लुप्त प्राणी,लुप्तप्राय प्राणी,सामान्य प्राणी,संरक्षित प्राणी,b  
